X1,X2,X3,X4,X5,X6,X7,X8
1.759186734,11.87118939,0,0.009045226,1.35568993,9.148347696,0,0.00361809
1.770133295,11.90498036,0,0.009246231,1.130604218,7.603846019,0,0.00120603
2.015399044,13.43737553,0,0.012964824,1.688591445,11.25843412,0,0.007839196
1.697740936,11.3437091,0,0.008040201,1.132408338,7.566355081,0,0.00120603
1.821837204,12.32941631,0,0.009949749,1.277685137,8.646827463,0,0.002713568
1.41310383,9.554343615,0,0.004321608,1,6.761246703,0,0
1.425030629,9.553906049,0,0.004422111,1,6.704351368,0,0
1.697089863,11.49515681,0,0.008140704,1.045392336,7.080914862,0,4.02E-04
1.487587062,10.02195767,0,0.005226131,1.045610431,7.044336263,0,4.02E-04
1.93283467,13.11859986,0,0.011758794,1.432567606,9.72317058,0,0.004522613
1.799169222,12.21047263,0,0.009547739,1.288149537,8.742320888,0,0.00281407
1.616513473,10.86676281,0,0.006934673,1.078725836,7.251568269,0,7.04E-04
1.389093187,9.338618433,0,0.004020101,1,6.722816382,0,0
1.843720998,12.43575172,0,0.010351759,1.131163528,7.629608166,0,0.00120603
1.786877261,12.06899051,0,0.009447236,1.151784115,7.779421593,0,0.001407035
1.565692311,10.67418093,0,0.006331658,1,6.817547006,0,0
1.927528644,12.01396142,0,0.007437186,1.39787258,8.712704372,0,0.002613065
2.002198782,12.21884647,0,0.008140704,1.63448938,9.974821167,0,0.004522613
1.880436536,11.81268839,0,0.007035176,1.529862449,9.610421857,0,0.003718593
2.053934196,12.81626494,0,0.008743719,1.720692927,10.73688558,0,0.005326633
1.948153251,12.43396102,0,0.007638191,1.749198542,11.16414557,0,0.005628141
2.057105542,12.86580364,0,0.008542714,1.575681534,9.85482213,0,0.003919598
2.120015243,13.27377458,0,0.009447236,2.231085309,13.96920307,0,0.010753769
2.030929642,12.46142473,0,0.008241206,2.012079427,12.34576314,0,0.008040201
1.190047503,7.182093097,0,0.001105528,1.549189911,9.349564737,0,0.003718593
1.326100908,8.014828309,0,0.00201005,2.017944909,12.19626793,0,0.008140704
1.83561771,10.93647268,0,0.006532663,1.382513371,8.236911001,0,0.002512563
1.831422136,11.71260591,0,0.006834171,1.403331106,8.974809187,0,0.00281407
1.25087938,7.837386838,0,0.001507538,1.984045354,12.43103946,0,0.007839196
1.889114752,11.83619346,0,0.006934673,1.362443216,8.53634829,0,0.002311558
1.923825817,12.24646203,0,0.007437186,1.556777359,9.909948521,0,0.003919598
1.964803656,11.87904563,0,0.007939698,1.406279957,8.502256052,0,0.002713568
1.855341393,11.43467238,0,0.006834171,1.19624105,7.372564716,0,0.00120603
1.678501369,10.59396564,0,0.004824121,1.282049437,8.091734645,0,0.001708543
1.989543572,12.26710041,0,0.008040201,1.913754233,11.79979954,0,0.007236181
1.383188629,8.191082098,0,0.002512563,2.480021939,14.68640132,0,0.014170854
1.909934972,11.79135116,0,0.007437186,1.414881548,8.735043558,0,0.00281407
1.949418634,12.17354989,0,0.007738693,1.967985349,12.28949361,0,0.007939698
