X1,X2,X3,X4
1.001099341,6.772294726,0,0.008241206
1.0000043,6.825173859,0,3.02E-04
1,6.772247331,0,0
1.000004869,6.795104429,0,9.05E-04
1.000000272,6.792043947,0,2.01E-04
1.000130257,6.798234663,0,0.001507538
1.000000101,6.759504235,0,1.01E-04
1.000317857,6.79035224,0,0.00281407
1.002994739,6.783052652,0,0.014974874
1,6.73298577,0,0
1.000206731,6.786516143,0,0.004522613
1.000014777,6.752288449,0,6.03E-04
1.003818844,6.844302966,0,0.017688442
1.000000004,6.730769599,0,1.01E-04
1.000015149,6.818853722,0,7.04E-04
1.000116319,6.722932677,0,0.003819095
1,6.815564437,0,0
1,6.731401738,0,0
1.000065411,6.755909412,0,0.001507538
1,6.825920045,0,0
1.000006984,6.820484256,0,5.03E-04
1.00001755,6.770517731,0,8.04E-04
1.000009789,6.718357806,0,4.02E-04
1.000005686,6.772643552,0,4.02E-04
1.000006065,6.727267177,0,7.04E-04
1.000007856,6.723540228,0,4.02E-04
1.000004835,6.69924133,0,5.03E-04
1.000000667,6.746626213,0,2.01E-04
1.000028353,6.760914244,0,0.001306533
1.000224832,6.749629346,0,0.004221106
1,6.725471123,0,0
1.000008761,6.667410756,0,6.03E-04
1.000040679,6.681920839,0,0.00201005
1.000006664,6.767618122,0,7.04E-04
1.000000011,6.761246778,0,2.01E-04
1.000002857,6.704370524,0,3.02E-04
1.000006818,6.773498231,0,6.03E-04
1.000006167,6.737097767,0,4.02E-04
1.000000291,6.787235285,0,2.01E-04
1.00002344,6.786887355,0,0.001809045
1.000012999,6.722433344,0,6.03E-04
1,6.722816382,0,0
1.000001385,6.74492993,0,4.02E-04
1.000561858,6.758030802,0,0.004221106
1.00005099,6.817894634,0,0.00120603
1.002377193,6.247648233,0,0.004824121
1.000595106,6.106345725,0,0.003919598
1.000466152,6.284814548,0,0.002110553
1.000598964,6.243598969,0,0.00361809
1.001119904,6.389582471,0,0.003919598
1.001659483,6.264702493,0,0.005125628
1.003946539,6.285879351,0,0.008542714
1.022424281,6.273414377,0,0.013065327
1.000549086,6.038445243,0,0.004723618
1.000710036,6.048196694,0,0.004924623
1.000809084,5.962745478,0,0.003919598
1.001743266,6.40650993,0,0.00361809
1.003904223,6.28996358,0,0.006733668
1.000740341,6.270109464,0,0.00361809
1.004324527,6.39320986,0,0.006030151
1.00120247,6.053189991,0,0.003919598
1.002358194,6.177643419,0,0.006733668
1.002213235,6.325531077,0,0.003417085
1.006131037,6.203588917,0,0.011758794
1.001917312,5.933237726,0,0.004522613
1.006377243,6.213063609,0,0.008542714
1.000484613,6.247734139,0,0.00321608
1.008614746,6.386924048,0,0.008241206
1.001113317,6.178900922,0,0.005728643
1.000934054,6.119320648,0,0.002914573
1.00094359,6.29176504,0,0.003919598
1.009062702,6.176717591,0,0.009849246
1.00031604,6.311132931,0,0.003015075
1.000453269,6.14253391,0,0.003115578
1.000020992,6.358189272,0,4.02E-04
1.002719161,6.204239576,0,0.006130653
1.005498522,6.283030325,0,0.010854271
1.001995904,6.095685272,0,0.004723618
1.001739923,6.310291189,0,0.004120603
1.003007722,6.268610262,0,0.007336683
1.002520757,6.344824932,0,0.006633166
1.004539931,6.2149459,0,0.007236181
1.002730139,6.176325835,0,0.006633166
1.002600973,5.92608433,0,0.006432161
1.002961147,6.337387223,0,0.006331658
1.00855131,6.125339526,0,0.010050251
1.000510901,6.341189579,0,0.00281407
1.00207971,6.184128292,0,0.004623116
1.017470861,6.339664313,0,0.013668342
1.007313868,6.241733297,0,0.005628141
1.001758789,6.199901809,0,0.007236181
1.003140161,6.235224844,0,0.004723618
1.000121146,6.161358464,0,0.001407035
1.007793449,6.331001165,0,0.005025126
1.002497306,6.237920186,0,0.005326633
1.001134853,6.156734786,0,0.004924623
1.00236758,6.27692519,0,0.003819095
1.001308393,6.399105989,0,0.003517588
1.004017569,6.270740327,0,0.007336683
1.007044366,6.376725039,0,0.010854271
1.001611082,6.014926732,0,0.004422111
1.002170922,6.27526245,0,0.00361809
1.003559921,6.194026278,0,0.005125628
1.002841951,6.167679592,0,0.005125628
1.004067046,6.446702515,0,0.012462312
1.00035638,6.198664403,0,0.003115578
1.000428269,6.277233664,0,0.002713568
1.002248703,6.041630266,0,0.005125628
1.003416851,6.391799593,0,0.008743719
1.005015402,6.240297578,0,0.009849246
1.000844542,6.120410614,0,0.004221106
1.000425941,6.08739302,0,0.004221106
1.001058512,6.113668168,0,0.003919598
