X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0.737799044,3.628048055,1,0,0.761998368,3.747045649,1,0.00142132,0.763453664,3.754201914,1,0.001624365
0.756965524,3.693133739,0.96,0,0.770481711,3.759077412,0.96,8.12E-04,0.750797987,3.663043149,1,4.06E-04
0.74946078,3.687469333,0.96,0,0.7599689,3.739170995,1,0.001218274,0.749733147,3.688809422,1,6.09E-04
0.752997098,3.681931817,0.96,0,0.771924419,3.774480786,1,0.001624365,0.758318991,3.707954291,1,8.12E-04
0.774712459,3.796623793,0.88,0,0.775150999,3.798772939,0.96,0.001218274,0.77499572,3.798011965,1,0.001827411
0.741507248,3.639604699,1,0,0.773869099,3.798449191,1,0.002030457,0.767199646,3.765712933,1,0.001624365
0.742733741,3.639805486,1,0,0.783954335,3.841809159,1,0.002233503,0.780035326,3.822603847,1,0.002233503
0.740833619,3.637719775,1,0,0.747079995,3.668391389,1,4.06E-04,0.754643469,3.705530363,1,0.001015228
0.739256191,3.62280768,1,0,0.756961651,3.709575266,1,0.001015228,0.756620356,3.707902713,1,0.001015228
0.75111821,3.681285414,0.96,0,0.767049085,3.759363796,1,0.001624365,0.747748066,3.664768089,1,6.09E-04
0.743250473,3.628310078,1,0,0.755999113,3.690544842,1,8.12E-04,0.752061324,3.671321823,1,6.09E-04
0.737672901,3.594981135,1,0,0.750596414,3.657962691,1,8.12E-04,0.746766442,3.639297672,1,6.09E-04
0.742435444,3.643027234,1,0,0.763263259,3.745226419,1,0.001218274,0.754124508,3.700383846,1,8.12E-04
0.753481174,3.712593432,0.96,0,0.781807874,3.852166288,0.96,0.001827411,0.770139241,3.794671966,1,0.002030457
0.737228475,3.630385455,1,0,0.755765634,3.721669277,1,0.001015228,0.76019561,3.743484116,1,0.00142132
0.749690258,3.679898261,0.96,0,0.753253705,3.69738965,1,8.12E-04,0.757524063,3.718350948,1,0.001218274
0.753166447,3.684942553,0.96,0,0.772730235,3.780660356,1,0.001827411,0.751756006,3.678041832,1,8.12E-04
0.73814309,3.610096142,1,0,0.7646574,3.739771822,1,0.001624365,0.776792952,3.799124151,1,0.002436548
0.750949371,3.676078299,0.96,0,0.757185576,3.706606024,0.96,4.06E-04,0.756300007,3.702270953,1,0.001015228
0.750518178,3.687183093,0.96,0,0.756083992,3.714527105,1,0.001015228,0.743174231,3.651103385,1,4.06E-04
0.738692181,3.615659747,1,0,0.751700141,3.679329512,1,8.12E-04,0.757910426,3.709726852,1,0.001218274
0.741891682,3.620952189,1,0,0.765243096,3.734923478,1,0.00142132,0.770264911,3.759433462,1,0.001827411
0.763139327,3.749389392,0.92,0,0.772132266,3.793572712,1,0.001624365,0.777066047,3.817812934,1,0.002030457
0.73616285,3.592712994,1,0,0.76848379,3.750449642,1,0.002030457,0.771154286,3.763482526,1,0.002030457
0.846163876,4.007234967,0.8,0,0.838307883,3.970030817,1,0.00142132,0.828045493,3.921430526,1,8.12E-04
0.878606718,4.197964062,0.64,0,0.838396992,4.005842854,0.96,6.09E-04,0.84890038,4.056027816,0.92,0.001015228
0.841444581,4.047770685,0.88,4.06E-04,0.858227995,4.128507327,1,0.002436548,0.846144793,4.070381061,1,0.001827411
0.885991836,4.258663528,0.6,0,0.875574987,4.208593255,0.88,0.002030457,0.883795197,4.248105026,0.92,0.00284264
0.841024839,4.015587119,0.84,2.03E-04,0.846547686,4.041956703,0.96,0.001624365,0.842977895,4.02491225,1,0.002030457
