S,zero_prop,r_complete,r_impute,
0.1,0,0.792373059,0.792373059,
0.05,0.035,0.770398398,0.779400427,
0.02,0.19,0.641168345,0.654678388,
0.01,0.375,0.514812762,0.362240507,
0.005,0.715,0.873297543,0.603927441,
0.1,0,0.779566675,0.779566675,
0.05,0.025,0.756345956,0.767824212,
0.02,0.19,0.704295767,0.610813234,
0.01,0.48,0.673243735,0.498063812,
0.005,0.74,0.821323154,0.883380567,
0.1,0.02,0.8782333,0.877399611,
0.05,0.04,0.86171635,0.858069441,
0.02,0.255,0.808018536,0.835359564,
0.01,0.505,0.635420242,0.720507314,
0.005,0.71,0.561400238,0.473063587,
0.1,0.005,0.823748392,0.827054567,
0.05,0.07,0.773490189,0.767589156,
0.02,0.25,0.664284872,0.602324004,
0.01,0.48,0.645043835,0.629937051,
0.005,0.705,0.551793854,0.601732862,
0.1,0.01,0.750975822,0.753494965,
0.05,0.06,0.715858133,0.701385208,
0.02,0.185,0.684420211,0.659050681,
0.01,0.445,0.631512388,0.674124913,
0.005,0.735,0.638202646,0.752548002,
0.1,0.02,0.818008784,0.818398711,
0.05,0.06,0.7909678,0.78137522,
0.02,0.245,0.643732992,0.518457343,
0.01,0.47,0.519426946,0.493075453,
0.005,0.735,0.230267118,0.274696803,
0.1,0.01,0.804277138,0.798538438,
0.05,0.055,0.748838898,0.773930126,
0.02,0.21,0.699312126,0.696502924,
0.01,0.42,0.677313237,0.674539355,
0.005,0.64,0.601140947,0.28301047,
0.1,0.015,0.815697765,0.797617436,
0.05,0.07,0.742542025,0.763657979,
0.02,0.245,0.627574893,0.614354086,
0.01,0.445,0.424473098,0.439875012,
0.005,0.715,0.167029298,0.115926133,
0.1,0,0.769710434,0.769710434,
0.05,0.05,0.763832204,0.772617657,
0.02,0.225,0.620048634,0.640464675,
0.01,0.455,0.539933624,0.319844902,
0.005,0.7,0.282781318,0.414361876,
0.1,0.015,0.804282641,0.824323972,
0.05,0.055,0.755903515,0.76114105,
0.02,0.155,0.701076919,0.722879184,
0.01,0.405,0.661818489,0.691784146,
0.005,0.655,0.556277151,0.629131876,
0.1,0.035,0.790532435,0.79498364,
0.05,0.085,0.709421369,0.722590513,
0.02,0.21,0.595502828,0.624311067,
0.01,0.425,0.430612204,0.409908934,
0.005,0.63,0.34900398,-5.93E-04,
0.1,0.015,0.798376263,0.806616539,
0.05,0.045,0.793205441,0.803190727,
0.02,0.25,0.760151202,0.810627089,
0.01,0.475,0.68688129,0.752726368,
0.005,0.665,0.360974042,-0.235591299,
0.1,0.005,0.844458263,0.841747858,
0.05,0.04,0.813381398,0.824505136,
0.02,0.205,0.757625331,0.718751825,
0.01,0.42,0.752956703,0.756928504,
0.005,0.665,0.681605236,0.619482706,
0.1,0.005,0.803019171,0.800867143,
0.05,0.04,0.767393897,0.772153551,
0.02,0.21,0.666033387,0.640512644,
0.01,0.44,0.540430614,0.502788885,
0.005,0.74,0.336522376,0.174487633,
0.1,0.03,0.831357996,0.83516228,
0.05,0.055,0.821027683,0.836028043,
0.02,0.235,0.69792217,0.655266779,
0.01,0.4,0.61243531,0.66257698,
0.005,0.64,0.491530089,0.462920834,
0.1,0,0.863589226,0.863589226,
0.05,0.035,0.840262044,0.851559718,
0.02,0.2,0.74558337,0.767982311,
0.01,0.48,0.706264519,0.747084013,
0.005,0.705,0.750659458,0.769696327,
0.1,0.015,0.750329705,0.750882309,
0.05,0.03,0.751785473,0.760357876,
0.02,0.215,0.712593612,0.738771882,
0.01,0.43,0.501097111,0.598241051,
0.005,0.655,0.502713626,0.615687512,
0.1,0.01,0.795950164,0.8031646,
0.05,0.04,0.777755966,0.777059366,
0.02,0.19,0.702993347,0.728418535,
0.01,0.4,0.687332009,0.723296764,
0.005,0.67,0.456288708,0.690891982,
0.1,0.005,0.853869025,0.860934589,
0.05,0.055,0.797996593,0.801392441,
0.02,0.18,0.688359953,0.654611074,
0.01,0.355,0.598468738,0.571981127,
0.005,0.64,0.549558282,0.316286956,
0.1,0.005,0.776339338,0.78382491,
0.05,0.03,0.715092334,0.717144033,
0.02,0.18,0.696810945,0.693592642,
0.01,0.43,0.549506173,0.341835045,
0.005,0.69,0.548897394,0.711187077,
0.1,0.02,0.776659492,0.782981279,
0.05,0.06,0.781811659,0.785091092,
0.02,0.23,0.659104462,0.655935379,
0.01,0.465,0.585186842,0.498433039,
0.005,0.69,0.535233333,0.60927554,
0.1,0,0.795706425,0.795706425,
0.05,0.015,0.770601502,0.774675216,
0.02,0.18,0.685012218,0.713617311,
0.01,0.42,0.630078157,0.515531538,
0.005,0.645,0.46484692,0.479473885,
0.1,0.005,0.691640525,0.692046433,
0.05,0.03,0.690189216,0.697472231,
0.02,0.21,0.682655322,0.647490976,
0.01,0.515,0.733076283,0.700872568,
0.005,0.795,0.623460183,0.767845287,
0.1,0.02,0.735652309,0.749863394,
0.05,0.065,0.668920343,0.661327959,
0.02,0.185,0.615987985,0.449269435,
0.01,0.465,0.554491285,0.496563223,
0.005,0.7,0.506410141,0.653882283,
0.1,0.01,0.828718901,0.842701036,
0.05,0.07,0.790187981,0.787954616,
0.02,0.205,0.665689554,0.675118324,
0.01,0.435,0.598636131,0.583370202,
0.005,0.62,0.144765333,0.111549175,
0.1,0.005,0.736967034,0.740467455,
0.05,0.04,0.677709805,0.687829595,
0.02,0.23,0.644825633,0.645131168,
0.01,0.495,0.560829157,0.727799707,
0.005,0.735,0.275906715,-0.003083495,
0.1,0.01,0.807929831,0.808342746,
0.05,0.045,0.756652381,0.773090553,
0.02,0.18,0.74424513,0.703666649,
0.01,0.43,0.680891228,0.708373167,
0.005,0.635,0.557601309,0.527937713,
