S,zero_prop,r_cca,r_mice,r_gbm
0.02,2.055,0.6157224722484591,0.6166165934769275,0.6257631249728206
0.01,4.485,0.49795117356734453,0.542683130223793,0.41326634426289716
0.005,7.745,0.3342319205526575,0.30508475731218226,0.3761076248647073
0.1,0.045,0.7657869287573866,0.7675363836975829,0.7657984143889781
0.05,0.315,0.7449450965497143,0.7462808013577565,0.7479643769494756
0.02,1.545,0.6308942194506071,0.5432672753243752,0.6154466001951927
0.01,3.525,0.5343759324651386,0.32650870877307225,0.4645908860170065
0.005,6.3,0.6001185926106155,0.6715671955832259,0.4425439557510619
0.1,0.075,0.7720394743745405,0.7797501121693292,0.7832453150267679
0.05,0.445,0.725974255563308,0.7180245776783374,0.7183379732793459
0.02,1.895,0.6968001157585432,0.6636009553023875,0.6838153468182533
0.01,4.335,0.43976275664296827,0.5118326114510703,0.44627567897801074
0.005,7.45,0.11314865362544682,0.3215749484299492,0.09431303853472851
0.1,0.075,0.7435270510993023,0.7781604847274318,0.7418942910794915
0.05,0.37,0.6808355977858669,0.700340252541572,0.6793458805350027
0.02,2.01,0.49232450944453715,0.49805271215932934,0.5013957981933493
0.01,4.465,0.3735901593016382,0.373762314483429,0.36337264023305155
0.005,7.35,0.3078904494246647,0.3489119615239091,0.20574762913441424
0.1,0.09,0.8258224660382171,0.8281377679242143,0.8247018355444852
0.05,0.39,0.8071751990810621,0.8065993432776378,0.8043438441130407
0.02,1.935,0.6634463826364367,0.6294434483449727,0.6260377810352538
0.01,4.485,0.7440341829485891,0.7226878041229172,0.6142929959140037
0.005,7.84,0.5988770815419474,0.24398262151933878,0.4965202046969975
0.1,0.08,0.7520821161623857,0.768014318442513,0.7520943184784794
0.05,0.385,0.7226472923754237,0.6962888614497378,0.7186337653463395
0.02,1.845,0.7158852632497531,0.5934816604032878,0.6587542023969067
0.01,4.07,0.7196316264010563,0.45696901520060423,0.6836838350974509
0.005,7.27,0.47599883183950203,0.7063739925070963,0.34889699296920995
0.1,0.055,0.77709643048644506,0.7848133244510416,0.769922216451794
0.05,0.38,0.7500085404388154,0.7560780607067743,0.7601132716459323
0.02,1.875,0.5869602671487966,0.5787238579160985,0.5482152618424914
0.01,4.195,0.46700096580260136,0.521721163970002,0.37853122148658724
0.005,7.12,0.12978488870258387,0.5511120870940155,-0.007442360986195518
0.1,0.07,0.8002574858825608,0.8093304692863293,0.7897580738667535
0.05,0.395,0.7535414918514156,0.7506968634481902,0.7483906699386198
0.02,1.785,0.6610814107418543,0.6521372596143742,0.6286349081866384
0.01,4,0.6008440700458417,0.48132830057419584,0.54272325053735615
0.005,7.11,0.4775051645336559,0.2349877749649756,0.38935977323287335
0.1,0.075,0.7472743569904137,0.7537510600426233,0.7501584529915971
0.05,0.485,0.7340047909347699,0.7318685710266319,0.7350965574483733
0.02,2.2,0.5309654601637129,0.5180092370500426,0.5149061521803537
0.01,4.705,0.38814022206558496,0.49429124336764235,0.36094010234290785
0.005,7.95,0.3345581488160495,0.4643462606966758,0.17196825898987134
0.1,0.045,0.771516251749046,0.771516251749046,0.771516251749046
0.05,0.455,0.6936034127521481,0.6961101480285325,0.6856417693602163
0.02,2.155,0.6907778456275969,0.7374509684052074,0.6309586076604232
0.01,4.745,0.724487578867725,0.472070857430894,0.619166154155288
0.005,8.03,0.8006190387073348,0.48533847330667995,0.7058196156479619
0.1,0.06,0.813455106011122,0.812269292751194,0.8152460256678588
0.05,0.46,0.7679267875522212,0.7720602456283262,0.7824566966354323
0.02,2.16,0.7496984703798807,0.7423962880573137,0.7355817815922235
0.01,4.685,0.8641354642225703,0.8174915390783718,0.8515268800685168
0.005,8.2,0.5355339304181145,0.596525497365987,0.33436907689023043
0.1,0.12,0.8149045147042477,0.8111767302909002,0.8192349489103581
0.05,0.36,0.7879349152827132,0.7421407837900061,0.8012901749818305
0.02,1.78,0.7306263797688868,0.7621575484557103,0.7339949337965602
0.01,3.795,0.5025917896878402,0.5279611359705568,0.44610181556182144
0.005,6.675,0.33094010830942067,0.2714785256244566,0.18539324419758307
0.1,0.11,0.7835648229439823,0.7909524441951872,0.7725720061224555
0.05,0.37,0.764056249315056,0.7696016509059908,0.7690671275609835
0.02,1.91,0.6926981027227804,0.7005904642259569,0.7149770057401753
0.01,4.31,0.5389379176356331,0.5974538923693593,0.4851611242027301
0.005,7.68,0.4653283897461197,0.4192771004340189,0.2569410950963819
0.1,0.075,0.8108179698277925,0.8167780797618086,0.8128149774991998
0.05,0.345,0.7604943208485262,0.7739043394060495,0.7625742419112191
0.02,1.505,0.6168911060657433,0.6161297375391482,0.5846074021186384
0.01,3.435,0.571426149906535,0.6053366843960293,0.5207063880326867
0.005,6.025,0.5987820343151831,0.3990142680122316,0.5333693093742173
0.1,0.09,0.8164471933089514,0.8210763192225613,0.8132960763802272
0.05,0.46,0.812245901794829,0.8168773666033772,0.7965705410441049
0.02,2.475,0.7755070575785188,0.6967365773998596,0.7554433391338037
0.01,5.49,0.7903175111802557,0.7474345088478277,0.7224984392713633
0.005,9.285,0.7787901543520772,0.6341449411391746,0.5653070488705653
0.1,0.09,0.8127480408262036,0.8254656419203129,0.8142748620479529
0.05,0.465,0.77064553157589,0.7685593257138724,0.7759211311370795
0.02,1.99,0.6192664886005904,0.6301741098647543,0.6277356546365509
0.01,4.405,0.5180568841114477,0.5363713733669799,0.43633408637448584
0.005,7.64,0.15963309263920145,0.11722628450680153,0.187379494924663
0.1,0.08,0.7733248693542594,0.7804201607503449,0.7724811789937566
0.05,0.38,0.7799005663501153,0.760619604542155,0.7762867507710821
0.02,1.965,0.6839426691634846,0.635444534103542,0.701110251643507
0.01,4.455,0.4873140416462089,0.5324507035612689,0.44243372314838547
0.005,7.74,0.2111470202864501,-0.13244458341145995,0.08213258469163301
0.1,0.065,0.7561323107935096,0.7561323107935096,0.7561323107935096
0.05,0.465,0.7335510029229788,0.7524160907754154,0.7360392148533179
0.02,2.44,0.5919337554977236,0.6043889146153695,0.6069485144607956
0.01,5.635,0.4855439934381242,0.5348286244176126,0.3486040649182883
0.005,9.525,0.029472407666538566,0.08234518557841687,0.07432378333569899
0.1,0.06,0.7895443247271651,0.8011363116215549,0.793015389572823
0.05,0.46,0.7570565929014349,0.753981196373033,0.7505859815412355
0.02,1.855,0.702922684953929,0.7186174081941142,0.6869701168931317
0.01,4.19,0.5710296917914197,0.6088713474892004,0.5092963586624091
0.005,7.52,0.4262540359769611,0.2517489350863494,0.27666755164145085
0.1,0.135,0.8174272359952494,0.8307697983363741,0.8202295698226922
0.05,0.52,0.8264743249202323,0.8303236649325778,0.8332755937411015
0.02,2.42,0.7866671311903932,0.8082514878594774,0.813693627778881
0.01,5.02,0.6021602633369267,0.4203348275293503,0.5950752370208883
0.005,8.305,0.6505287127389261,0.5448968989193833,0.5030890833499133
0.1,0.06,0.8010055794869941,0.8007968191282334,0.7976945454992503
0.05,0.34,0.7564761705275046,0.7844509426694334,0.761392256452165
0.02,1.59,0.6300063456741866,0.5195777611718906,0.6126419212857392
0.01,3.76,0.5377535779112566,0.6861667479608171,0.43132473228482243
0.005,6.68,0.553605332085631,0.5564727807938951,0.4239917443403095
