S,zero_prop,r_cca,r_mice,r_gbm
0.005,6.12,-0.1571247617593513,-0.5926190278615628,0.09396470930617833
0.1,0.065,0.06683602052436785,0.07045989469695968,0.06736756304948432
0.05,0.465,0.11162792792283122,0.07454572959794337,0.1307005859539495
0.02,2.115,0.1290796936125874,0.20786663077964967,0.15383735049355834
0.01,4.72,-0.024093156739249093,-0.13214134644502043,0.025323245342099898
0.005,8.08,0.09630040895930177,-0.009830583897970797,0.11955613341443876
0.1,0.05,0.12246411981707161,0.14045942265144454,0.11852082967961013
0.05,0.39,0.10329742667275126,0.09599900031664056,0.09666968137237104
0.02,1.605,0.0800968482174276,0.07262144733700322,0.02237125296629975
0.01,3.785,-0.18108416797959404,-0.2057980494072876,-0.18821302326244
0.005,6.525,0.17887680247999366,0.17713577842016884,-0.05081444850705791
0.1,0.055,0.18666931136482326,0.1812123875010056,0.1864468682260925
0.05,0.285,0.16195823991101632,0.13839378950086323,0.13946052778166532
0.02,1.29,0.05455691959456983,-0.003912067898856164,0.052474800190033026
0.01,3.07,-0.15270264975769587,0.015135561037423598,-0.03566342676906478
0.005,5.895,0.005009578214165295,0.3059190766152169,-0.1420642166636056
0.1,0.065,-0.11411052529074778,-0.093886158852378,-0.10999718524907609
0.05,0.425,-0.10065865588527503,-0.0998071847676986,-0.10407609204273767
0.02,2.075,-0.012462391882133527,0.03961239981772218,-0.010456335288349642
0.01,4.535,-0.2535249546260341,-0.4157161796411044,-0.11239669843588826
0.005,7.84,-0.42857142857142855,-0.26462792259802986,0.30097257493093466
0.1,0.04,-0.22185700934039732,-0.22215926246487042,-0.22117801441114032
0.05,0.335,-0.2185448632399772,-0.2504548202735389,-0.2118339816916646
0.02,1.58,-0.10493774798587659,-0.12741646346834046,-0.026237034595093793
0.01,3.515,0.1031284569822655,0.10512171487651362,0.09095937443447473
0.005,6.35,0.5041932106388805,0.06009801943402901,0.2361980689423472
0.1,0.07,-0.09633984377467615,-0.09665670356562364,-0.0925218158678863
0.05,0.435,-0.059559133905039405,-0.055533173406868766,-0.04492668908492263
0.02,1.89,-0.11855921310475394,-0.23407470412977208,-0.03951153507604585
0.01,4.285,-0.17370277399396772,-0.1114803096574576,0.017700673113264245
0.005,7.41,0.6683964335070329,-0.3720357732342858,0.06829064181388284
0.1,0.07,-0.03648428538376905,-0.03648428538376905,-0.03648428538376905
0.05,0.375,-0.0738852741727989,-0.06124255485603612,-0.07545179373366302
0.02,2.03,-0.060734427958767566,-0.14298002356423944,-0.04016365124980043
0.01,4.425,-0.2506658131976218,-0.11034825919307548,-0.23668668503661644
0.005,7.335,0.38066487994770587,0.4469480652633295,-0.10157431952788862
0.1,0.085,0.08418653178792529,0.0825454240087496,0.08419975923822642
0.05,0.38,0.11003506529366779,0.09342661947037034,0.10896876468531799
0.02,1.895,0.011902595767317087,0.05206300177709804,0.038855389246971794
0.01,4.425,0.015899834503258,0.009065757129682009,0.08828972319486716
0.005,7.8,0.20594555283929317,0.7867338515934327,-0.033447501479841706
0.1,0.085,0.0935587653817802,0.09367057263787469,0.09353434183510022
0.05,0.395,0.08685687419068411,0.07502131184873438,0.11172229132812918
0.02,1.855,-0.15242622652594423,-0.1763017225295498,-0.12544981829047552
0.01,4.065,-0.21230602514513958,0.07517806281896472,-0.2205204854893175
0.005,7.245,-0.16345354146168428,0.29441280075414555,-0.025707628456146533
0.1,0.055,0.14987045159800608,0.15168507903532827,0.15036566347762578
0.05,0.375,-0.03508085971318005,0.007758124536424934,-0.05001908494176756
0.02,1.885,-0.1621590537796613,-0.30484337507912224,-0.13979799072346724
0.01,4.245,0.1354999000442749,-0.10760683489000923,-0.08526594686207159
0.005,7.16,0.06087073770442752,0.04158747106661636,-0.101347805219506
0.1,0.065,-0.01742572923629317,-0.02064586178291561,-0.016709977706410976
0.05,0.385,0.024931877452184857,0.016421235262679367,0.0499516067764535
0.02,1.72,0.019635886454819295,0.15907285395094653,0.05564333860756937
0.01,3.985,-0.015982357861318016,0.08698285575147251,0.02590385284810825
0.005,7.16,0.6722725300344397,-0.27418242003606935,0.13558677020287815
0.1,0.065,-0.07006749762610573,-0.07006749762610573,-0.07006749762610573
0.05,0.49,-0.00638828830672825,0.014311352025241331,-0.008276155583748807
0.02,2.22,-0.004036386187413198,-0.04164101140748869,0.009655920378020036
0.01,4.695,-0.018623212610126724,0.0950069219053295,0.009319242218489699
0.005,7.995,-0.19611613513818402,-0.2484735704358037,0.15001871143146145
0.1,0.05,0.10779410129415709,0.1056694772454406,0.10737304694058106
0.05,0.465,0.10259296150584685,0.07248317114949379,0.13074496419806808
0.02,2.165,-0.08101138162536882,-0.20736629691771877,-0.1218418204056925
0.01,4.72,0.09704302597771787,-0.04121058483770376,0.019664216702914558
0.005,8.045,-0.2567335588460543,-0.44597424163378485,0.03855033635678079
0.1,0.055,-0.03730225417684107,-0.03831437096144673,-0.03680694254139667
0.05,0.465,0.07035110871871351,0.06948244198515861,0.08284119676123161
0.02,2.135,0.06539461864885811,-0.01635517709471291,-0.008326236317493723
0.01,4.715,0.1538514718661202,0.1546253188383224,0.07683080934940624
